Timepoint,Actinobacteria,Bacteroidetes,Desulfobacterota,Firmicutes,Proteobacteria,Acidobacteria,Euryarchaeota,Lentisphaerae,Synergistetes,Verrucomicrobia
3,,834,,2387,78,,,,,
3,,1508,,411,30,,,,,
3,,1583,,401,162,,,,,
3,,11409,,4009,240,,,,,
3,,11484,,4399,10,,,,,
3,,11750,,3230,55,,,,,
3,,12349,,99,101,,,,,
3,,17067,,316,128,,,,,
3,,20796,,329,436,,,,,
3,,158,,172,,,,,,
3,,693,,175,,,,,,
3,,221,,30,,,,,,
3,,11,,30,,,,,,
3,,74,,27,,,,,,
3,,89,,24,,,,,,
3,,97,,20,,,,,,
3,,107,,19,,,,,,
3,,124,,8,,,,,,
3,,786,,8,,,,,,
3,,598,,10,,,,,,
3,,149,,11,,,,,,
3,,,,125,,,,,,
3,,,,11,,,,,,
3,,,,13,,,,,,
3,,,,13,,,,,,
3,,,,16,,,,,,
3,,,,19,,,,,,
3,,,,19,,,,,,
3,,,,7,,,,,,
3,,,,111,,,,,,
3,,,,32,,,,,,
3,,,,33,,,,,,
3,,,,36,,,,,,
3,,,,38,,,,,,
3,,,,39,,,,,,
3,,,,45,,,,,,
3,,,,45,,,,,,
3,,,,47,,,,,,
3,,,,47,,,,,,
3,,,,50,,,,,,
3,,,,54,,,,,,
3,,,,55,,,,,,
3,,,,56,,,,,,
3,,,,65,,,,,,
3,,,,104,,,,,,
3,,,,104,,,,,,
3,,,,98,,,,,,
3,,,,89,,,,,,
3,,,,75,,,,,,
3,,,,74,,,,,,
3,,,,70,,,,,,
3,,,,68,,,,,,
3,,,,66,,,,,,
3,,,,7,,,,,,
3,,,,5,,,,,,
3,,,,2861,,,,,,
3,,,,3039,,,,,,
3,,,,4147,,,,,,
3,,,,4551,,,,,,
3,,,,5685,,,,,,
3,,,,2234,,,,,,
3,,,,1965,,,,,,
3,,,,1759,,,,,,
3,,,,1634,,,,,,
3,,,,1593,,,,,,
3,,,,1298,,,,,,
3,,,,1222,,,,,,
3,,,,980,,,,,,
3,,,,884,,,,,,
3,,,,841,,,,,,
3,,,,779,,,,,,
3,,,,813,,,,,,
3,,,,786,,,,,,
3,,,,2426,,,,,,
3,,,,253,,,,,,
3,,,,240,,,,,,
3,,,,236,,,,,,
3,,,,81,,,,,,
3,,,,276,,,,,,
3,,,,520,,,,,,
3,,,,384,,,,,,
3,,,,281,,,,,,
4,323.3333334,41992.16667,44,9,11894,5.666666667,17,41.33333334,12204,4103.833333
4,27,723,44,6,111,,,23,563,28
4,25,13552,36,5,28,,,15,581,25
4,133,20,,26507.66667,30,,,,652,37
4,134,15143,,28,99,,,,746,410
4,133,118,,27,97,,,,512,134
4,134,746,,27,94,,,,261,320
4,52,803,,25,85,,,,,
4,48,1236,,22,48,,,,,
4,,1872,,21,52,,,,,
4,,2804,,20,118,,,,,
4,,9197,,18,127,,,,,
4,,9519,,18,135,,,,,
4,,11260,,17,151,,,,,
4,,12049,,16,158,,,,,
4,,222,,15,177,,,,,
4,,268,,13,181,,,,,
4,,140,,13,224,,,,,
4,,170,,30,237,,,,,
4,,186,,34,88,,,,,
4,,188,,34,88,,,,,
4,,482,,86,103,,,,,
4,,431,,78,103,,,,,
4,,319,,67,137,,,,,
4,,272,,65,63,,,,,
4,,11,,61,,,,,,
4,,7,,59,,,,,,
4,,482,,56,,,,,,
4,,431,,12,,,,,,
4,,319,,54,,,,,,
4,,272,,52,,,,,,
4,,188,,51,,,,,,
4,,186,,49,,,,,,
4,,170,,47,,,,,,
4,,140,,42,,,,,,
4,,7,,41,,,,,,
4,,344,,39,,,,,,
4,,288,,36,,,,,,
4,,224,,35,,,,,,
4,,209,,11,,,,,,
4,,137,,543,,,,,,
4,,111,,554,,,,,,
4,,311,,562,,,,,,
4,,54,,113,,,,,,
4,,284,,1434,,,,,,
4,,,,1732,,,,,,
4,,,,2075,,,,,,
4,,,,2374,,,,,,
4,,,,3898,,,,,,
4,,,,4051,,,,,,
4,,,,484,,,,,,
4,,,,364,,,,,,
4,,,,161,,,,,,
4,,,,177,,,,,,
4,,,,197,,,,,,
4,,,,10,,,,,,
4,,,,199,,,,,,
4,,,,226,,,,,,
4,,,,228,,,,,,
4,,,,261,,,,,,
4,,,,289,,,,,,
4,,,,303,,,,,,
4,,,,201,,,,,,
4,,,,56,,,,,,
4,,,,2096,,,,,,
4,,,,149,,,,,,
4,,,,180,,,,,,
4,,,,2773,,,,,,
4,,,,2166,,,,,,
4,,,,2096,,,,,,
4,,,,1900,,,,,,
4,,,,1645,,,,,,
4,,,,215,,,,,,
4,,,,2449,,,,,,
4,,,,23,,,,,,
4,,,,32,,,,,,
4,,,,3043,,,,,,
4,,,,2773,,,,,,
4,,,,2449,,,,,,
4,,,,2166,,,,,,
4,,,,1900,,,,,,
4,,,,1645,,,,,,
4,,,,215,,,,,,
4,,,,180,,,,,,
4,,,,149,,,,,,
4,,,,32,,,,,,
4,,,,3043,,,,,,
4,,,,2563,,,,,,
4,,,,2311,,,,,,
4,,,,2032,,,,,,
4,,,,1755,,,,,,
4,,,,1555,,,,,,
4,,,,1383,,,,,,
4,,,,516,,,,,,
4,,,,422,,,,,,
4,,,,403,,,,,,
4,,,,355,,,,,,
4,,,,1827,,,,,,
4,,,,117,,,,,,
4,,,,53,,,,,,
5,109,182,,1370,109,6.833333333,11,42.83333333,21020,8099.000002
5,158,187,,1516,97,,,19,923,165
5,177,249,,1560,91,,,11,896,201
5,158,155,,1712,13319,,,21,378,459
5,2795.833334,271,,2050,82,,,,565,9
5,,283,,2202,134,,,,670,27
5,,318,,32,138,,,,737,25
5,,372,,1199,142,,,,,
5,,61,,261,149,,,,,
5,,110,,276,126,,,,,
5,,116,,301,197,,,,,
5,,128,,333,168,,,,,
5,,133,,70,274,,,,,
5,,30543,,133,125,,,,,
5,,61,,664,116,,,,,
5,,110,,716,70,,,,,
5,,316,,847,120,,,,,
5,,128,,875,87,,,,,
5,,169,,915,102,,,,,
5,,116,,1104,110,,,,,
5,,321,,1241,113,,,,,
5,,1711,,26,388,,,,,
5,,2297,,18958.83333,82,,,,,
5,,1380,,157,151,,,,,
5,,11012,,166,43,,,,,
5,,11671,,177,34,,,,,
5,,13857,,235,,,,,,
5,,14506,,260,,,,,,
5,,14756,,67,,,,,,
5,,15668,,67,,,,,,
5,,1282,,70,,,,,,
5,,397,,75,,,,,,
5,,626,,75,,,,,,
5,,721,,94,,,,,,
5,,14,,106,,,,,,
5,,11,,79,,,,,,
5,,133,,313,,,,,,
5,,21,,327,,,,,,
5,,,,2825,,,,,,
5,,,,2907,,,,,,
5,,,,2922,,,,,,
5,,,,4542,,,,,,
5,,,,4747,,,,,,
5,,,,4798,,,,,,
5,,,,382,,,,,,
5,,,,395,,,,,,
5,,,,449,,,,,,
5,,,,455,,,,,,
5,,,,537,,,,,,
5,,,,606,,,,,,
5,,,,57,,,,,,
5,,,,55,,,,,,
5,,,,66,,,,,,
5,,,,48,,,,,,
5,,,,17,,,,,,
5,,,,17,,,,,,
5,,,,15,,,,,,
5,,,,51,,,,,,
5,,,,14,,,,,,
5,,,,11,,,,,,
5,,,,10,,,,,,
5,,,,19,,,,,,
5,,,,6,,,,,,
5,,,,5,,,,,,
5,,,,1241,,,,,,
5,,,,1104,,,,,,
5,,,,915,,,,,,
5,,,,875,,,,,,
5,,,,847,,,,,,
5,,,,716,,,,,,
5,,,,664,,,,,,
5,,,,133,,,,,,
5,,,,70,,,,,,
5,,,,32,,,,,,
5,,,,6,,,,,,
5,,,,20,,,,,,
5,,,,44,,,,,,
5,,,,45,,,,,,
5,,,,47,,,,,,
5,,,,42,,,,,,
5,,,,41,,,,,,
5,,,,38,,,,,,
5,,,,34,,,,,,
5,,,,38,,,,,,
5,,,,29,,,,,,
5,,,,29,,,,,,
5,,,,23,,,,,,
5,,,,26,,,,,,
6,50,118,167,3091,66,5.666666667,,8.166666665,11362.16667,3005.5
6,109,254,167,3589,143,,,,,
6,417.6666667,236,,3875,145,,,,,
6,50,103,,66,26,,,,,
6,109,235,,69,66,,,,,
6,,218,,59,13096.66667,,,,,
6,,201,,2938,143,,,,,
6,,118,,62,145,,,,,
6,,137,,2745,,,,,,
6,,254,,78,,,,,,
6,,236,,2202,,,,,,
6,,235,,228,,,,,,
6,,218,,2495,,,,,,
6,,50,,145,,,,,,
6,,32889.33334,,29,,,,,,
6,,50,,29,,,,,,
6,,103,,59,,,,,,
6,,118,,62,,,,,,
6,,118,,66,,,,,,
6,,137,,69,,,,,,
6,,201,,78,,,,,,
6,,142,,145,,,,,,
6,,142,,2495,,,,,,
6,,121,,2745,,,,,,
6,,118,,2938,,,,,,
6,,87,,3091,,,,,,
6,,86,,3589,,,,,,
6,,83,,3875,,,,,,
6,,81,,228,,,,,,
6,,73,,21839.66667,,,,,,
6,,,,2202,,,,,,
6,,,,1956,,,,,,
6,,,,1947,,,,,,
6,,,,1940,,,,,,
6,,,,1622,,,,,,
6,,,,1496,,,,,,
6,,,,368,,,,,,
6,,,,363,,,,,,
6,,,,2485,,,,,,
6,,,,295,,,,,,
6,,,,132,,,,,,
6,,,,100,,,,,,
6,,,,263,,,,,,
6,,,,2560,,,,,,
7,1319.666667,127,,127,141,12.5,,37,22248,5878.500002
7,242,121,,4238,138,,,,,
7,,127,,95,128,,,,,
7,,142,,71,123,,,,,
7,,121,,46,128,,,,,
7,,157,,25,151,,,,,
7,,175,,17,141,,,,,
7,,188,,103,138,,,,,
7,,230,,17,123,,,,,
7,,142,,25,151,,,,,
7,,157,,46,17019.33334,,,,,
7,,70,,71,242,,,,,
7,,87,,95,182,,,,,
7,,87,,103,240,,,,,
7,,112,,127,,,,,,
7,,115,,153,,,,,,
7,,125,,192,,,,,,
7,,242,,194,,,,,,
7,,120,,2409,,,,,,
7,,41507.83334,,2667,,,,,,
7,,230,,3002,,,,,,
7,,188,,4006,,,,,,
7,,175,,3002,,,,,,
7,,,,551,,,,,,
7,,,,1810,,,,,,
7,,,,1883,,,,,,
7,,,,2207,,,,,,
7,,,,2254,,,,,,
7,,,,2392,,,,,,
7,,,,536,,,,,,
7,,,,2925,,,,,,
7,,,,3090,,,,,,
7,,,,18221,,,,,,
7,,,,439,,,,,,
7,,,,29,,,,,,
7,,,,56,,,,,,
7,,,,396,,,,,,
7,,,,145,,,,,,
7,,,,153,,,,,,
7,,,,3270,,,,,,
7,,,,4006,,,,,,
7,,,,3270,,,,,,
7,,,,3269,,,,,,
7,,,,3269,,,,,,
7,,,,2667,,,,,,
7,,,,4238,,,,,,
7,,,,194,,,,,,
7,,,,192,,,,,,
7,,,,2409,,,,,,
8,483.6666667,546,6,62,85,6.5,,28,9420.833334,3585.666667
8,,519,6,125,115,,,,,
8,,164,,3356,124,,,,,
8,,170,,131,133,,,,,
8,,289,,2625,137,,,,,
8,,273,,2589,176,,,,,
8,,318,,2569,14185.83333,,,,,
8,,289,,2106,219,,,,,
8,,194,,2066,154,,,,,
8,,41035,,227,142,,,,,
8,,289,,138,115,,,,,
8,,318,,136,85,,,,,
8,,546,,26383.83334,137,,,,,
8,,289,,3194,176,,,,,
8,,206,,129,133,,,,,
8,,173,,2002,124,,,,,
8,,129,,2756,,,,,,
8,,105,,2923,,,,,,
8,,54,,2066,,,,,,
8,,273,,2106,,,,,,
8,,519,,2569,,,,,,
8,,194,,2589,,,,,,
8,,489,,2625,,,,,,
8,,464,,3194,,,,,,
8,,358,,3356,,,,,,
8,,332,,275,,,,,,
8,,170,,172,,,,,,
8,,164,,83,,,,,,
8,,,,75,,,,,,
8,,,,270,,,,,,
8,,,,2390,,,,,,
8,,,,2005,,,,,,
8,,,,1876,,,,,,
8,,,,1554,,,,,,
8,,,,227,,,,,,
8,,,,332,,,,,,
8,,,,62,,,,,,
8,,,,350,,,,,,
8,,,,138,,,,,,
8,,,,131,,,,,,
8,,,,129,,,,,,
8,,,,125,,,,,,
8,,,,136,,,,,,
9,1656.5,33333.16667,19,23562.66667,11110.66667,5.833333334,,23.33333333,9357.333334,4449.166667
9,,238,244,3036,234,,,,,
9,,217,19,3280,195,,,,,
9,,216,,3246,148,,,,,
9,,210,,2657,71,,,,,
9,,142,,2410,68,,,,,
9,,140,,2292,65,,,,,
9,,369,,2265,260,,,,,
9,,323,,1933,218,,,,,
9,,318,,11,234,,,,,
9,,427,,11,195,,,,,
9,,430,,3036,148,,,,,
9,,323,,2918,71,,,,,
9,,217,,2596,68,,,,,
9,,216,,2186,65,,,,,
9,,210,,2139,189,,,,,
9,,427,,2012,128,,,,,
9,,140,,1698,62,,,,,
9,,142,,148,260,,,,,
9,,430,,101,,,,,,
9,,238,,98,,,,,,
9,,186,,95,,,,,,
9,,165,,93,,,,,,
9,,106,,239,,,,,,
9,,130,,215,,,,,,
9,,,,148,,,,,,
9,,,,101,,,,,,
9,,,,98,,,,,,
9,,,,95,,,,,,
9,,,,93,,,,,,
9,,,,2012,,,,,,
9,,,,184,,,,,,
9,,,,155,,,,,,
9,,,,1698,,,,,,
9,,,,60,,,,,,
9,,,,51,,,,,,
9,,,,2918,,,,,,
9,,,,2596,,,,,,
9,,,,2186,,,,,,
9,,,,2139,,,,,,
9,,,,61,,,,,,
10,2404,39614.5,,26219.16667,15832.83334,10,,33,8938.833332,3772.333333
